awardgoverningsocietyname	awardname	awardreceivedname	awardreceivedawardyear	personname	prestige	award_age	award_decade	award_category	is_recent	stats_Focal Award	stats_Discipline	stats_Pathway Award	stats_# Awardees w/ This Award	stats_Percentage of Awardees with This Award	stats_Mean Academic Age at Time of Award
National Academy of Inventors	NAI Fellow	Christopher S. Chen	2022	Chen, Christopher	Not Designated	3	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	National Academy of Inventors | NAI Fellow	1.0	0.5	26.0
American Statistical Association	ASA Fellow	Cindy L. Christiansen	2003	Christiansen, Cindy	Not Designated	22	2000s	Standard Award	False	Alexander Von Humboldt Foundation | Humboldt Research Award	Applied Mathematics	American Statistical Association | ASA Fellow	1.0	0.3329999999999999	16.0
American Statistical Association	ASA Fellow	Cheng, Debbie	2023	Cheng, Debbie	Not Designated	2	2020s	Standard Award	True	Alexander Von Humboldt Foundation | Humboldt Research Award	Applied Mathematics	American Statistical Association | ASA Fellow	1.0	0.3329999999999999	16.0
Drexel University	Institute for Women's Health and Leadership/ELAM Fellow	Debbie M. Cheng	2024	Cheng, Debbie	Not Designated	1	2020s	Standard Award	True	Alpha Omega Alpha Honor Medical Society | Fellow in Leadership	Industrial Engineering	Drexel University | Institute for Women's Health and Leadership/ELAM Fellow	1.0	1.0	25.0
American Musicological Society, Inc.	Noah Greenberg Award	Victor Coelho	1999	Coelho, Victor A	Not Designated	26	1990s	Standard Award	False	American Musicological Society, Inc. | AMS Subventions for Publications for Individuals or Scholarly Organizations, Societies, and Departments	History	American Musicological Society, Inc. | Noah Greenberg Award	1.0	0.3329999999999999	10.0
Harvard University	Center for Italian Renaissance Studies/I Tatti Fellow/Appointee	Coelho, Victor	1997	Coelho, Victor A	Not Designated	28	1990s	Standard Award	False	Alexander Von Humboldt Foundation | Humboldt Research Fellowship	Art History and Criticism	Harvard University | Center for Italian Renaissance Studies/I Tatti Fellow/Appointee	1.0	1.0	4.0
Harvard University	Center for Italian Renaissance Studies/I Tatti Fellow/Appointee	Coelho, Victor	2004	Coelho, Victor A	Not Designated	21	2000s	Standard Award	False	Alexander Von Humboldt Foundation | Humboldt Research Fellowship	Art History and Criticism	Harvard University | Center for Italian Renaissance Studies/I Tatti Fellow/Appointee	1.0	1.0	4.0
Russell Sage Foundation	Russell Sage Visiting Scholar	Elizabeth F. Cohen	2014	Cohen, Elizabeth F	Not Designated	11	2010s	Standard Award	False	Academy of Management | Organization and Management Theory Division/Best Paper on Environmental and Social Practices	Business, various	Russell Sage Foundation | Russell Sage Visiting Scholar	1.0	1.0	32.0
American Political Science Association	Migration and Citizenship Section/Best Book Award	Elizabeth Cohen	2019	Cohen, Elizabeth F	Not Designated	6	2010s	Standard Award	True	American Political Science Association | Migration and Citizenship Section/Best Book Award	Political Science	Western Political Science Association | Dissertation Award	1.0	0.3329999999999999	1.0
Princeton University	University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships	Elizabeth Cohen	2020	Cohen, Elizabeth F	Prestigious	5	2020s	Notable Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Area and Ethnic Studies, various - Articles-Focused	Princeton University | University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships	1.0	0.042	7.0
Princeton University	University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships	Elizabeth Cohen	2022	Cohen, Elizabeth F	Prestigious	3	2020s	Notable Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Area and Ethnic Studies, various - Articles-Focused	Princeton University | University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships	1.0	0.042	7.0
National Endowment for the Humanities (NEH)	NEH Fellowships for University Teachers	Robert Andrew Chodat	2014	Chodat, Robert A	Highly Prestigious	11	2010s	Major Award	False	Academia Europaea | Member of the Academia Europaea	English Language and Literature	National Endowment for the Humanities (NEH) | NEH Fellowships for University Teachers	1.0	0.3329999999999999	9.0
Alexander Von Humboldt Foundation	Humboldt Research Fellowship	Robert Chodat	2006	Chodat, Robert A	Prestigious	19	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Germanic Languages and Literatures	Alexander Von Humboldt Foundation | Humboldt Research Fellowship	1.0	0.5	9.0
American Academy of Arts and Sciences	Visiting Scholar	Robert Chodat	2003	Chodat, Robert A	Not Designated	22	2000s	Standard Award	False	American Antiquarian Society | AAS Member	English Language and Literature	American Academy of Arts and Sciences | Visiting Scholar	1.0	0.067	0.0
American Institute for Medical and Biological Engineering	Fellow	H. Steven Colburn	2000	Colburn, H Steven	Not Designated	25	2000s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Acoustical Society of America	Silver Medal	H. Steven Colburn	2004	Colburn, H Steven	Prestigious	21	2000s	Notable Award	False	Acoustical Society of America | Silver Medal	Biology/Biological Sciences, General	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	1.0	1.0	17.0
Association for Research in Otolaryngology	ARO Award of Merit	H. Steven Colburn	2014	Colburn, H Steven	Not Designated	11	2010s	Standard Award	False	Acoustical Society of America | Silver Medal	Biology/Biological Sciences, General	Association for Research in Otolaryngology | ARO Award of Merit	1.0	1.0	43.0
Acoustical Society of America	Fellow	Colburn, H. Steven	1991	Colburn, H Steven	Not Designated	34	1990s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Fromm Music Foundation	Commission/Fellowship	Richard Cornell	2016	Cornell, Richard	Not Designated	9	2010s	Standard Award	True	American Academy In Rome | Rome Prize	Music, General	Fromm Music Foundation | Commission/Fellowship	1.0	0.5	0.0
MacDowell Colony	MacDowell Fellowships	Richard Cornell	1987	Cornell, Richard	Not Designated	38	1980s	Standard Award	False	Academy of American Poets | Academy Fellowship	Performing and Visual Arts, various	MacDowell Colony | MacDowell Fellowships	1.0	1.0	5.0
Andrew W. Mellon Foundation	Sawyer Seminar	Cutler Cleveland	2009	Cleveland, Cutler	Not Designated	16	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	History	Andrew W. Mellon Foundation | Sawyer Seminar	1.0	0.5	35.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Chemistry	Qiang Cui	2004	Cui, Qiang	Prestigious	21	2000s	Notable Award	False	Academy of Diagnostics & Laboratory Medicine | Outstanding Scientific Achievements by a Young Investigator	Bioinformatics and Computational Biology	Alfred P. Sloan Foundation | Sloan Research Fellowship-Chemistry	1.0	1.0	6.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Cui, Qiang	2004	Cui, Qiang	Prestigious	21	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Chinese-American Chemistry and Chemical Biology Professors Association	Distinguished Faculty Award	Qiang Cui	2010	Cui, Qiang	Not Designated	15	2010s	Standard Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Biochemistry	Chinese-American Chemistry and Chemical Biology Professors Association | Distinguished Faculty Award	1.0	0.023	10.0
National Academy of Sciences	Kavli Frontiers of Science Fellows	Qiang Cui	2010	Cui, Qiang	Not Designated	15	2010s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Academy of Sciences | Kavli Frontiers of Science Fellows	2.0	0.25	12.5
The Camille and Henry Dreyfus Foundation	Machine Learning in the Chemical Sciences and Engineering Award	Qiang Cui	2021	Cui, Qiang	Not Designated	4	2020s	Standard Award	True	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Biochemistry	The Camille and Henry Dreyfus Foundation | Machine Learning in the Chemical Sciences and Engineering Award	1.0	0.3329999999999999	13.0
National Institutes of Health (NIH)	NIH Outstanding Investigator Award (R35)	CUI, QIANG 	2021	Cui, Qiang	Not Designated	4	2020s	Standard Award	True	Academy of Behavioral Medicine Research | Neal Miller Award	Biomedical Sciences, General	National Institutes of Health (NIH) | NIH Outstanding Investigator Award (R35)	1.0	1.0	4.0
American Chemical Society	ACS Fellow	Qiang Cui	2023	Cui, Qiang	Not Designated	2	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Biomedical Sciences, General	American Chemical Society | ACS Fellow	1.0	1.0	27.0
American Council of Learned Societies (ACLS)	Charles A Ryskamp Research Fellows	Jodi Cranston	2003	Cranston, Jodi	Not Designated	22	2000s	Standard Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	English Language and Literature	American Council of Learned Societies (ACLS) | Charles A Ryskamp Research Fellows	1.0	0.0559999999999999	7.0
College Art Association	Millard Meiss Publication Fund	Cranston, Jodi	2019	Cranston, Jodi	Not Designated	6	2010s	Standard Award	True	American Academy In Rome | Rome Prize	Art History and Criticism	College Art Association | Millard Meiss Publication Fund	2.0	0.667	4.0
Renaissance Society of America	The Gladys Krieble Delmas Foundation Book Prize	Jodi Cranston	2021	Cranston, Jodi	Not Designated	4	2020s	Standard Award	True	Renaissance Society of America | The Gladys Krieble Delmas Foundation Book Prize	Architecture, Design, Planning, various - Articles-Focused	Renaissance Society of America | RSA Fellowships	1.0	1.0	17.0
Renaissance Society of America	RSA Fellowships	Jodi Cranston	2015	Cranston, Jodi	Not Designated	10	2010s	Standard Award	True	American Council of Learned Societies (ACLS) | ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships)	History	Renaissance Society of America | RSA Fellowships	1.0	0.018	12.0
American Institute for Medical and Biological Engineering	Fellow	Edward R. Damiano	2016	Damiano, Edward R	Not Designated	9	2010s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Edward R Damiano	2001	Damiano, Edward R	Prestigious	24	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Association for Computing Machinery (ACM)	ACM Fellow	Mark Crovella	2010	Crovella, Mark E	Not Designated	15	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Biological Sciences, various	Association for Computing Machinery (ACM) | ACM Fellow	1.0	1.0	15.0
Institute for Electrical and Electronics Engineers (IEEE)	IEEE Fellow	Mark Edward Crovella	2012	Crovella, Mark E	Not Designated	13	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Bioinformatics and Computational Biology	Institute for Electrical and Electronics Engineers (IEEE) | IEEE Fellow	1.0	0.3329999999999999	24.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	CROVELLA, MARK	1995	Crovella, Mark E	Prestigious	30	1990s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Association for Computing Machinery (ACM)	ACM Senior Member	Mark Crovella	2009	Crovella, Mark E	Not Designated	16	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	Association for Computing Machinery (ACM) | ACM Senior Member	1.0	0.091	7.0
Association for Computing Machinery (ACM)	ACM Distinguished Member	Crovella, Mark	2009	Crovella, Mark E	Not Designated	16	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	Association for Computing Machinery (ACM) | ACM Distinguished Member	1.0	0.091	10.0
Society for Social Work and Research	SSWR Fellow	Jorge Delva	2015	Delva, Jorge	Not Designated	10	2010s	Standard Award	True	American Academy of Social Work and Social Welfare | Fellow	Human Development and Family Studies, General	Society for Social Work and Research | SSWR Fellow	1.0	1.0	37.0
American Academy of Social Work and Social Welfare	Fellow	Jorge Delva	2017	Delva, Jorge	Not Designated	8	2010s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Association of Latino/Latina Social Work Educators (ALLSWE)	Distinguished Research Award	Jorge Delva	2020	Delva, Jorge	Not Designated	5	2020s	Standard Award	True	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Animal Sciences	American Meat Science Association | Distinguished Research Award	1.0	0.059	14.0
University of Utah	New Leadership Academy Fellow	Jorge Delva	2017	Delva, Jorge	Not Designated	8	2010s	Standard Award	True	American Association of Hispanics in Higher Education | AAHHE Faculty Fellows	Social Work/Social Welfare	University of Utah | New Leadership Academy Fellow	1.0	1.0	5.0
