awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
American College of Sports Medicine,GRANTS IN BASIC AND APPLIED SCIENCE,Susan Kandarian,1989,"KANDARIAN, SUSAN",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Simon Kasif,2013,"KASIF, SIMON",Boston University,Not Designated,2024-12-06
Institute for Advanced Study,IAS School of Mathematics/Members and Visitors,Takashi KIMURA,2002,"KIMURA, TAKASHI",Boston University,Not Designated,2024-12-06
Simons Foundation,Collaboration Grants for Mathematicians,Takashi Kimura,2014,"KIMURA, TAKASHI",Boston University,Not Designated,2024-12-06
International Union of Pure and Applied Physics,IUPAP Early Career Scientist Prizes,Takashi Kimura,2009,"KIMURA, TAKASHI",Boston University,Not Designated,2024-12-06
Japan Society for the Promotion of Science,JSPS Prize,"KIMURA, Takashi",2013,"KIMURA, TAKASHI",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),Summer Stipends Awards,Deeana Copeland Klepper,2007,"KLEPPER, DEEANA",Boston University,Not Designated,2024-12-06
American Philosophical Society,Franklin Grants,"Klepper, Deeana",2007,"KLEPPER, DEEANA",Boston University,Not Designated,2024-12-06
University of Pennsylvania,Katz Center for Advanced Judaic Studies/Fellowship,Deeana Klepper,2001,"KLEPPER, DEEANA",Boston University,Not Designated,2024-12-06
Medieval Academy of America,Fellow,Deeana Klepper,2024,"KLEPPER, DEEANA",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH MERIT Award (R37),"LEHMAN, WILLIAM J",2008,"LEHMAN, WILLIAM J",Boston University,Not Designated,2024-12-06
"Econometric Society, The",Econometric Society Fellow,BARTON L. LIPMAN,2005,"LIPMAN, BARTON L",Boston University,Not Designated,2024-12-06
International Health Economics Association,Kenneth J. Arrow Award,Ching-To Albert Ma,1998,"MA, CHING-TO A",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,CATHIE MARTIN,2012,"MARTIN, CATHIE JO",Boston University,Prestigious,2024-12-06
Harvard Radcliffe Institute for Advanced Study,Radcliffe Institute Fellowship,Cathie Jo Martin,2007,"MARTIN, CATHIE JO",Boston University,Prestigious,2024-12-06
American Political Science Association,Political Organizations and Parties Section/Jack Walker Article Award,Cathie Martin,2010,"MARTIN, CATHIE JO",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),Fellowships,"Martin, Cathie Jo",2020,"MARTIN, CATHIE JO",Boston University,Highly Prestigious,2024-12-06
American Political Science Association,European Politics and Society Section/Best Book Award,Cathie Jo Martin,2024,"MARTIN, CATHIE JO",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,John T. Matthews,1995,"MATTHEWS, JOHN",Boston University,Highly Prestigious,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"MCCALL, KIMBERLY A",2018,"MCCALL, KIMBERLY A",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Brendan Joseph McConville,1995,"MCCONVILLE, BRENDAN J",Boston University,Highly Prestigious,2024-12-06
National Endowment for the Humanities (NEH),Summer Stipends Awards,Brendan Joseph McConville,1993,"MCCONVILLE, BRENDAN J",Boston University,Not Designated,2024-12-06
Academy of Nutrition and Dietetics,Abbott Nutrition Award in Women's Health,Kathleen Morgan,2007,"MORGAN, KATHLEEN G",Boston University,Prestigious,2024-12-06
Grass Foundation,Grass Fellowship,Kathleen G. Morgan,1975,"MORGAN, KATHLEEN G",Boston University,Not Designated,2024-12-06
Alexander Von Humboldt Foundation,Humboldt Research Award,Ranga B. Myneni,2016,"MYNENI, RANGA B",Boston University,Not Designated,2024-12-06
Institute for Advanced Study,IAS School of Social Science/Member,Andrew Newman,2003,"NEWMAN, ANDREW F",Boston University,Not Designated,2024-12-06
Faculty Fellowship Program in Israel,Faculty Fellowship Program in Israel Fellow,Nathan Phillips,2013,"PHILLIPS, NATHAN",Boston University,Not Designated,2024-12-06
American Psychological Association,Division 12-Society for a Science of Clinical Psychology/Florence Halpern Award for Distinguished Professional Contributions to Clinical Psychology,Donna B. Pincus,2020,"PINCUS, DONNA B",Boston University,Not Designated,2024-12-06
Association for Behavioral and Cognitive Therapies,ABCT Fellow,Donna Pincus,1900,"PINCUS, DONNA B",Boston University,Not Designated,2024-12-06
Patient-Centered Outcomes Research Institute (PCORI),PCORI Research Funding,Donna Pincus,2018,"PINCUS, DONNA B",Boston University,Not Designated,2024-12-06
American Mathematical Society,AMS Fellow,"Rohrlich, David",2013,"ROHRLICH, DAVID",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Mathematics,"Rohrlich, David",1982,"ROHRLICH, DAVID",Boston University,Prestigious,2024-12-06
National Academy of Inventors,NAI Fellow,"Rothschild, Kenneth J.",2016,"ROTHSCHILD, KENNETH J",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Rothschild, Kenneth J.",1990,"ROTHSCHILD, KENNETH J",Boston University,Not Designated,2024-12-06
Archaeological Institute of America,The Excellence in Undergraduate Teaching Award,Curtis N. Runnels,1997,"RUNNELS, CURTIS NEIL",Boston University,Not Designated,2024-12-06
Archaeological Institute of America,Gold Medal Award for Distinguished Archaeological Achievement,Curtis Runnels,2019,"RUNNELS, CURTIS NEIL",Boston University,Highly Prestigious,2024-12-06
Society of Antiquaries,Fellow,Curtis Runnels,1990,"RUNNELS, CURTIS NEIL",Boston University,Not Designated,2024-12-06
National Academy of Inventors,NAI Fellow,"Sarin, Vinod K.",2018,"SARIN, VINOD",Boston University,Not Designated,2024-12-06
Society for Classical Studies,"Ancient Worlds, Modern Communities Initiative",Stephen Scully,2019,"SCULLY, STEPHEN",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Seligman, Adam",2016,"SELIGMAN, ADAM B",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Specialist,"Seligman, Adam",2016,"SELIGMAN, ADAM B",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Kim D. Sichel,1994,"SICHEL, KIM",Boston University,Highly Prestigious,2024-12-06
College Art Association,Millard Meiss Publication Fund,"Sichel, Kim",2019,"SICHEL, KIM",Boston University,Not Designated,2024-12-06
American Ornithological Society,Elliott Coues Award,Michael Sorenson,2016,"SORENSON, MICHAEL",Boston University,Prestigious,2024-12-06
American Ornithological Society,Fellow,"Sorenson, Michael D",2009,"SORENSON, MICHAEL",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"STAROBINSKI, DAVID",2002,"STAROBINSKI, DAVID",Boston University,Prestigious,2024-12-06
IEEE Communications Society,IEEE Conference on Communications and Network Security/Best Paper Award,David Starobinski,2016,"STAROBINSKI, DAVID",Boston University,Not Designated,2024-12-06
American Statistical Association,Boston Chapter/Statistician of the Year Award,Lisa Sullivan,2013,"SULLIVAN, LISA",Boston University,Not Designated,2024-12-06
Association of Schools and Programs of Public Health,ASPPH Teaching Excellence Award,Lisa Sullivan,2008,"SULLIVAN, LISA",Boston University,Not Designated,2024-12-06
American Statistical Association,ASA Fellow,"Lisa M. Sullivan, PhD",2021,"SULLIVAN, LISA",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Fellow,Martha C Tompson,2019,"TOMPSON, MARTHA C",Boston University,Prestigious,2024-12-06
Association for Behavioral and Cognitive Therapies,ABCT Fellow,Martha Tompson,1900,"TOMPSON, MARTHA C",Boston University,Not Designated,2024-12-06
Animal Behavior Society,ABS Fellows,James Traniello,2017,"TRANIELLO, JAMES",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,James Frances Anthony Traniello,2018,"TRANIELLO, JAMES",Boston University,Prestigious,2024-12-06
American Mathematical Society,AMS Fellow,"Wayne, C. Eugene",2015,"WAYNE, CLARENCE E",Boston University,Not Designated,2024-12-06
Society for Industrial and Applied Mathematics (SIAM),SIAM Fellow,Clarence Eugene Wayne,2015,"WAYNE, CLARENCE E",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Robert Weller,2013,"WELLER, ROBERT P",Boston University,Highly Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Weller, Robert",2013,"WELLER, ROBERT P",Boston University,Prestigious,2024-12-06
American Society for Photogrammetry and Remote Sensing,John I Davidson President's Award for Practical Papers,C.E. Woodcock,2008,"WOODCOCK, CURTIS E",Boston University,Not Designated,2024-12-06
U.S. Geological Survey (USGS),William T. Pecora Award,Curtis E. Woodcock,2016,"WOODCOCK, CURTIS E",Boston University,Not Designated,2024-12-06
American Association of Geographers,Remote Sensing Specialty Group/Outstanding Contribution Award,Curtis E. Woodcock,2010,"WOODCOCK, CURTIS E",Boston University,Not Designated,2024-12-06
American Society for Photogrammetry and Remote Sensing,John I Davidson President's Award for Practical Papers,Curtis E. Woodcock,2023,"WOODCOCK, CURTIS E",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),Charles A Ryskamp Research Fellows,Jonathan R. Zatlin,2008,"ZATLIN, JONATHAN",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Zatlin, Jonathan R.",1994,"ZATLIN, JONATHAN",Boston University,Not Designated,2024-12-06
Alexander Von Humboldt Foundation,Humboldt Research Fellowship,Jonathan Reed Zatlin,2010,"ZATLIN, JONATHAN",Boston University,Prestigious,2024-12-06
Andrew W. Mellon Foundation,Sawyer Seminar,Jonathan R. Zatlin,2013,"ZATLIN, JONATHAN",Boston University,Not Designated,2024-12-06
Society for Applied Spectroscopy,Fellow,Lawrence Ziegler,2021,"ZIEGLER, LAWRENCE",Boston University,Not Designated,2024-12-06
Association for Psychological Science,Fellow,Mieke H. Verfaellie,2007,"VERFAELLIE, MIEKE",Boston University,Prestigious,2024-12-06
American Psychological Association,APA Fellow,"Verfaellie, Mieke H",2008,"VERFAELLIE, MIEKE",Boston University,Prestigious,2024-12-06
Memory Disorders Research Society,Member,Mieke Verfaellie,1900,"VERFAELLIE, MIEKE",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,"RAVID, KATYA",2014,"RAVID, KATYA",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Ravid, Katya",2016,"RAVID, KATYA",Boston University,Prestigious,2024-12-06
American Heart Association (AHA),Strategically Focused Research Network,Katya Ravid,2021,"RAVID, KATYA",Boston University,Not Designated,2024-12-06
Association for Research in Vision and Ophthalmology,Gold Fellow,"Trinkaus-Randall, Vickery E",2010,"TRINKAUS-RANDALL, VICKERY E",Boston University,Not Designated,2024-12-06
American Chemical Society,ACS Fellow,Catherine E Costello,2011,"COSTELLO, CATHERINE",Boston University,Not Designated,2024-12-06
American Chemical Society,Frank H Field and Joe L Franklin Award for Outstanding Achievement in Mass Spectrometry,Catherine Costello,2010,"COSTELLO, CATHERINE",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Catherine E. Costello,2016,"COSTELLO, CATHERINE",Boston University,Prestigious,2024-12-06
American Society for Mass Spectrometry,John B Fenn Distinguished Contribution in Mass Spectrometry,Catherine E. Costello,2017,"COSTELLO, CATHERINE",Boston University,Not Designated,2024-12-06
Life Sciences Research Foundation,LSRF Fellow,Maria Kukuruzinska,1983,"KUKURUZINSKA, MARIA",Boston University,Not Designated,2024-12-06
"Sj?gren's Syndrome Foundation, Inc.",Research Grant Award,Maria Kukuruzinska,2012,"KUKURUZINSKA, MARIA",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"ZAIA, JOSEPH",2022,"ZAIA, JOSEPH",Boston University,Not Designated,2024-12-06
Obesity Society,TOS Presidential Medals of Distinction,Barbara E. Corkey,2021,"CORKEY, BARBARA E",Boston University,Not Designated,2024-12-06
IOTA SIGMA PI,National Honorary Member,?Barbara E. Corkey,2014,"CORKEY, BARBARA E",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,"Center, David Michael",2014,"CENTER, DAVID",Boston University,Prestigious,2024-12-06
National Academy of Inventors,NAI Fellow,"Center, David M.",2013,"CENTER, DAVID",Boston University,Not Designated,2024-12-06
Association of American Physicians,Elected Member,David Center,1900,"CENTER, DAVID",Boston University,Not Designated,2024-12-06
American Thoracic Society,Trudeau Medalist,David M. Center,2012,"CENTER, DAVID",Boston University,Not Designated,2024-12-06
American Society for Bone and Mineral Research,Fellow,Louis Gerstenfeld,2021,"GERSTENFELD, LOUIS",Boston University,Not Designated,2024-12-06
Orthopaedic Research Society,ORS Fellow,Louis Gerstenfeld,2022,"GERSTENFELD, LOUIS",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Neuroscience,Lindsay A. Farrer,1991,"FARRER, LINDSAY A",Boston University,Prestigious,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Lindsay Farrer,1991,"FARRER, LINDSAY A",Boston University,Not Designated,2024-12-06
American Society for Nutrition,EV McCollum Award,Michael F. Holick,1994,"HOLICK, MICHAEL F",Boston University,Prestigious,2024-12-06
American Society for Nutrition,Osborne and Mendel Award,Michael Holick,1991,"HOLICK, MICHAEL F",Boston University,Highly Prestigious,2024-12-06
American Society for Nutrition,Robert H Herman Memorial Award,Michael F. Holick,2003,"HOLICK, MICHAEL F",Boston University,Prestigious,2024-12-06
American Society for Nutrition,Mead Johnson Award,M.F. Holick,1983,"HOLICK, MICHAEL F",Boston University,Highly Prestigious,2024-12-06
American Society for Bone and Mineral Research,Fuller Albright Award,Michael F. Holick,1980,"HOLICK, MICHAEL F",Boston University,Not Designated,2024-12-06
American Society for Bone and Mineral Research,Louis V. Avioli Founders Award,Michael Holick,2014,"HOLICK, MICHAEL F",Boston University,Not Designated,2024-12-06
Association of American Physicians,Elected Member,Michael Holick,1900,"HOLICK, MICHAEL F",Boston University,Not Designated,2024-12-06
American Society for Nutrition,ASN Fellow,Michael Holick,2019,"HOLICK, MICHAEL F",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,"CORLEY, RONALD B",2014,"CORLEY, RONALD B",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Specialist,"Dasgupta, Shoumita",2022,"DASGUPTA, SHOUMITA",Boston University,Not Designated,2024-12-06
Health Resources in Action,Smith Family Awards Program for Excellence in Biomedical Research,Sam Thiagalingam,2000,"THIAGALINGAM, SAM",Boston University,Not Designated,2024-12-06
Brain and Behavior Research Foundation,BBRF Independent Investigator Grant,Sam Thiagalingam,2006,"THIAGALINGAM, SAM",Boston University,Not Designated,2024-12-06
