awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
College Art Association,Millard Meiss Publication Fund,"Cranston, Jodi",2019,"CRANSTON, JODI",Boston University,Not Designated,2024-12-06
Renaissance Society of America,The Gladys Krieble Delmas Foundation Book Prize,Jodi Cranston,2021,"CRANSTON, JODI",Boston University,Not Designated,2024-12-06
Renaissance Society of America,RSA Fellowships,Jodi Cranston,2015,"CRANSTON, JODI",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Edward R. Damiano,2016,"DAMIANO, EDWARD R",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Edward R Damiano,2001,"DAMIANO, EDWARD R",Boston University,Prestigious,2024-12-06
Association for Computing Machinery (ACM),ACM Fellow,Mark Crovella,2010,"CROVELLA, MARK E",Boston University,Not Designated,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Mark Edward Crovella,2012,"CROVELLA, MARK E",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"CROVELLA, MARK",1995,"CROVELLA, MARK E",Boston University,Prestigious,2024-12-06
Association for Computing Machinery (ACM),ACM Senior Member,Mark Crovella,2009,"CROVELLA, MARK E",Boston University,Not Designated,2024-12-06
Association for Computing Machinery (ACM),ACM Distinguished Member,"Crovella, Mark",2009,"CROVELLA, MARK E",Boston University,Not Designated,2024-12-06
Society for Social Work and Research,SSWR Fellow,Jorge Delva,2015,"DELVA, JORGE",Boston University,Not Designated,2024-12-06
American Academy of Social Work and Social Welfare,Fellow,Jorge Delva,2017,"DELVA, JORGE",Boston University,Not Designated,2024-12-06
Association of Latino/Latina Social Work Educators (ALLSWE),Distinguished Research Award,Jorge Delva,2020,"DELVA, JORGE",Boston University,Not Designated,2024-12-06
University of Utah,New Leadership Academy Fellow,Jorge Delva,2017,"DELVA, JORGE",Boston University,Not Designated,2024-12-06
Society for Social Work and Research,Aaron Rosen Lecture,Jorge Delva,2022,"DELVA, JORGE",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Chemistry,"Dill, Dan",1975,"DILL, DAN",Boston University,Prestigious,2024-12-06
American Physical Society,APS Fellow,"Dill, Dan",1983,"DILL, DAN",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Cottrell College Science Award,"Doerrer, Linda ",2001,"DOERRER, LINDA H",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Doerrer, Linda",2013,"DOERRER, LINDA H",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"Doerrer, Linda",2002,"DOERRER, LINDA H",Boston University,Prestigious,2024-12-06
American Chemical Society,PRF (Petroleum Research Fund)/New Directions (ND) Grant,Linda H. Doerrer,2017,"DOERRER, LINDA H",Boston University,Not Designated,2024-12-06
The Camille and Henry Dreyfus Foundation,Henry Dreyfus Teacher-Scholar Award Program,Linda H. Doerrer,2005,"DOERRER, LINDA H",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Charles Delisi,2001,"DELISI, CHARLES P",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,"Delisi, Charles",2000,"DELISI, CHARLES P",Boston University,Prestigious,2024-12-06
University of Pennsylvania,Katz Center for Advanced Judaic Studies/Fellowship,Charles Dellheim,2000,"DELLHEIM, CHARLES",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,"Dupuis, Jos?e",2014,"DUPUIS, JOSEE",Boston University,Prestigious,2024-12-06
American Statistical Association,ASA Fellow,Josee  Dupuis,2013,"DUPUIS, JOSEE",Boston University,Not Designated,2024-12-06
Institute of Mathematical Statistics,IMS Fellows,"Dupuis, Jos?e",2024,"DUPUIS, JOSEE",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Malcolm D. Eckel,1998,"ECKEL, M DAVID",Boston University,Highly Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Uri Eden,2007,"EDEN, URI T",Boston University,Prestigious,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,"Elliott, Sean",2010,"ELLIOTT, SEAN J",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Sean J Elliott,2006,"ELLIOTT, SEAN J",Boston University,Prestigious,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"ELLIOTT, SEAN J",2020,"ELLIOTT, SEAN J",Boston University,Not Designated,2024-12-06
Health Resources in Action,Smith Family Awards Program for Excellence in Biomedical Research,Sean Elliott,2004,"ELLIOTT, SEAN J",Boston University,Not Designated,2024-12-06
National Institute for Health Care Management Foundation,Health Care Research Award,Randall P. Ellis,2008,"ELLIS, RANDALL P",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Raymond Fisman,2001,"FISMAN, RAYMOND",Boston University,Not Designated,2024-12-06
Royal Economic Society,Economic Journal Referee Prize,Raymond Fisman,2016,"FISMAN, RAYMOND",Boston University,Not Designated,2024-12-06
"Aspen Institute, The",Faculty Pioneer Award,Ray Fisman,2006,"FISMAN, RAYMOND",Boston University,Not Designated,2024-12-06
"Geological Society of America, The",GSA Fellow,Duncan M. FitzGerald,2006,"FITZGERALD, DUNCAN M",Boston University,Not Designated,2024-12-06
Harvard Radcliffe Institute for Advanced Study,Radcliffe Institute Fellowship,Susan Eckstein,2003,"ECKSTEIN, SUSAN",Boston University,Prestigious,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),Susan E. Eckstein,2001,"ECKSTEIN, SUSAN",Boston University,Highly Prestigious,2024-12-06
American Sociological Association,Community and Urban Sociology Section/Robert E Park Award,Susan Eckstein,2002,"ECKSTEIN, SUSAN",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Susan Eva Eckstein,2015,"ECKSTEIN, SUSAN",Boston University,Highly Prestigious,2024-12-06
American Political Science Association,"Race, Ethnicity and Politics Section/Best Paper Award",Susan Eckstein,2010,"ECKSTEIN, SUSAN",Boston University,Not Designated,2024-12-06
Latin American Studies Association,Kalman Silvert Award,Susan Eckstein,2023,"ECKSTEIN, SUSAN",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Solomon Eisenberg,2008,"EISENBERG, SOLOMON R",Boston University,Not Designated,2024-12-06
American Academy of Arts and Letters,Arts and Letters Awards,Leslie Epstein,1978,"EPSTEIN, LESLIE D",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Leslie Epstein,1977,"EPSTEIN, LESLIE D",Boston University,Highly Prestigious,2024-12-06
Memorial Foundation for Jewish Culture,Fellowship Grant,LESLIE EPSTEIN,2001,"EPSTEIN, LESLIE D",Boston University,Not Designated,2024-12-06
National Academy of Medicine,NAM Member,"Galea, Sandro",2012,"GALEA, SANDRO",Boston University,Highly Prestigious,2024-12-06
Society for Epidemiologic Research,Distinguished Service Award,Sandro Galea,2019,"GALEA, SANDRO",Boston University,Not Designated,2024-12-06
Robert Wood Johnson Foundation,RWJF Investigator Awards in Health Policy Research,Sandro Galea,2006,"GALEA, SANDRO",Boston University,Not Designated,2024-12-06
Association of American Publishers,"Category Award/Applied Social Work, Nursing and Allied Health",Sandro Galea,2020,"GALEA, SANDRO",Boston University,Not Designated,2024-12-06
American Journal of Nursing,AJN Book of the Year Award,Sandro Galea,2019,"GALEA, SANDRO",Boston University,Not Designated,2024-12-06
American Journal of Nursing,AJN Book of the Year Award,Sandro Galea,2019,"GALEA, SANDRO",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Garrett, Aaron",2013,"GARRETT, AARON V",Boston University,Prestigious,2024-12-06
American Mathematical Society,AMS Fellow,"Fried, David",2013,"FRIED, DAVID",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Mathematics,"Fried, David",1983,"FRIED, DAVID",Boston University,Prestigious,2024-12-06
Computing Research Association,A Nico Habermann Award,Roscoe Giles,2000,"GILES, ROSCOE C",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Roscoe?C.?Giles,2019,"GILES, ROSCOE C",Boston University,Prestigious,2024-12-06
African Scientific Institute,ASI FELLOW,Roscoe Giles,2020,"GILES, ROSCOE C",Boston University,Not Designated,2024-12-06
European Physical Society,High Energy and Particle Physics Prize,Sheldon Lee Glashow,2011,"GLASHOW, SHELDON L",Boston University,Not Designated,2024-12-06
